MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole ,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6
0.043835 ,0.014855 ,0.025718 ,0.025397 ,0.012349 ,0.025844 ,0.022953 ,0.025017 ,0.002321 ,0.002437 
0.031179 ,0.015211 ,0.027559 ,0.030513 ,0.008123 ,0.022814 ,0.019266 ,0.014940 ,0.005607 ,0.001316 
0.034813 ,0.020870 ,0.034353 ,0.020864 ,0.013805 ,0.019863 ,0.020189 ,0.030922 ,0.004438 ,0.001195 
0.039396 ,0.008648 ,0.034263 ,0.024055 ,0.007148 ,0.001735 ,0.023208 ,0.030244 ,0.003042 ,0.002433 
0.027578 ,0.011624 ,0.023235 ,0.028745 ,0.012465 ,0.026018 ,0.013574 ,0.024543 ,0.002977 ,0.002063 
0.043154 ,0.025448 ,0.030124 ,0.022325 ,0.014745 ,0.027412 ,0.013578 ,0.027604 ,0.003845 ,0.001354 
0.048968 ,0.010847 ,0.025326 ,0.005842 ,0.010416 ,0.013451 ,0.021984 ,0.025039 ,0.003150 ,0.001912 
0.023151 ,0.011317 ,0.015989 ,0.008546 ,0.008466 ,0.025538 ,0.027575 ,0.031813 ,0.005789 ,0.002334 
0.035369 ,0.011130 ,0.030044 ,0.021532 ,0.012454 ,0.021324 ,0.021998 ,0.016343 ,0.002165 ,0.002018 
0.027451 ,0.017922 ,0.026789 ,0.025933 ,0.006655 ,0.015257 ,0.023544 ,0.022409 ,0.003044 ,0.002124 
0.038219 ,0.012808 ,0.022135 ,0.024574 ,0.013221 ,0.018431 ,0.019791 ,0.031247 ,0.005969 ,0.002211 
0.019806 ,0.009224 ,0.028828 ,0.031947 ,0.010035 ,0.013451 ,0.020583 ,0.023454 ,0.004159 ,0.002258 
0.034246 ,0.013071 ,0.020351 ,0.023832 ,0.013920 ,0.033784 ,0.022362 ,0.015591 ,0.002406 ,0.002655 
0.040663 ,0.011399 ,0.028421 ,0.010458 ,0.009545 ,0.030354 ,0.022807 ,0.025140 ,0.003154 ,0.001979 
0.045132 ,0.014322 ,0.034449 ,0.024938 ,0.004725 ,0.013127 ,0.018160 ,0.021513 ,0.003684 ,0.001023 
0.028332 ,0.008205 ,0.027842 ,0.027762 ,0.009834 ,0.020354 ,0.020852 ,0.031108 ,0.006942 ,0.002334 
0.038123 ,0.019890 ,0.034499 ,0.036845 ,0.011786 ,0.030187 ,0.029845 ,0.039465 ,0.002691 ,0.002985 
0.023739 ,0.009626 ,0.027401 ,0.026400 ,0.004999 ,0.026254 ,0.019802 ,0.032667 ,0.003909 ,0.002157 
0.036434 ,0.015017 ,0.031058 ,0.017651 ,0.013542 ,0.026407 ,0.015895 ,0.034899 ,0.002805 ,0.002068 
0.040340 ,0.015498 ,0.032132 ,0.023453 ,0.013543 ,0.021463 ,0.019739 ,0.031525 ,0.003875 ,0.001023 
0.043187 ,0.005432 ,0.025931 ,0.032333 ,0.004710 ,0.027894 ,0.018514 ,0.031660 ,0.006013 ,0.002309 
0.037864 ,0.016580 ,0.044865 ,0.023544 ,0.014402 ,0.020676 ,0.022287 ,0.030554 ,0.005125 ,0.002355 
0.025470 ,0.012423 ,0.023545 ,0.020065 ,0.011414 ,0.026237 ,0.024145 ,0.032065 ,0.002493 ,0.002785 
0.041567 ,0.019956 ,0.037165 ,0.019040 ,0.014463 ,0.019845 ,0.014544 ,0.019975 ,0.003610 ,0.001601 
0.042393 ,0.025180 ,0.031125 ,0.038786 ,0.009793 ,0.027411 ,0.022161 ,0.028256 ,0.001985 ,0.003532 
0.047994 ,0.014038 ,0.025579 ,0.011435 ,0.008894 ,0.027564 ,0.024447 ,0.020535 ,0.004924 ,0.001368 
0.028353 ,0.013433 ,0.017746 ,0.037842 ,0.011692 ,0.029685 ,0.015765 ,0.031221 ,0.002645 ,0.001222 
0.051421 ,0.013023 ,0.032151 ,0.024348 ,0.013335 ,0.017635 ,0.024690 ,0.015991 ,0.003330 ,0.001898 
0.021388 ,0.025255 ,0.015413 ,0.023897 ,0.010269 ,0.028634 ,0.022126 ,0.030405 ,0.003641 ,0.001953 
0.045930 ,0.010558 ,0.030045 ,0.036871 ,0.005156 ,0.032120 ,0.028877 ,0.037908 ,0.004151 ,0.001753 
0.029767 ,0.022616 ,0.040957 ,0.029479 ,0.007351 ,0.023608 ,0.025575 ,0.030700 ,0.003291 ,0.001988 
0.053427 ,0.020066 ,0.020235 ,0.024847 ,0.010568 ,0.023519 ,0.013579 ,0.029743 ,0.002876 ,0.001663 
0.040972 ,0.016256 ,0.024801 ,0.023684 ,0.013543 ,0.023868 ,0.020568 ,0.033628 ,0.004021 ,0.002985 
0.046656 ,0.019570 ,0.028816 ,0.035541 ,0.014149 ,0.030269 ,0.024960 ,0.025923 ,0.003245 ,0.001209 
0.042526 ,0.012048 ,0.030484 ,0.034568 ,0.010501 ,0.021435 ,0.021920 ,0.032292 ,0.004590 ,0.002945 
0.031561 ,0.013545 ,0.036841 ,0.033292 ,0.008754 ,0.028380 ,0.021273 ,0.031514 ,0.004551 ,0.001123 
0.047386 ,0.021438 ,0.037561 ,0.043616 ,0.013709 ,0.034547 ,0.023745 ,0.035326 ,0.003793 ,0.001346 
0.051444 ,0.016518 ,0.035928 ,0.040354 ,0.009844 ,0.028765 ,0.027985 ,0.032603 ,0.005124 ,0.001764 
0.047135 ,0.011528 ,0.038625 ,0.035938 ,0.015654 ,0.032550 ,0.026759 ,0.031637 ,0.004556 ,0.002210 
0.051577 ,0.020439 ,0.038864 ,0.046843 ,0.012760 ,0.034513 ,0.025272 ,0.029545 ,0.003385 ,0.002004 
0.067427 ,0.017982 ,0.031997 ,0.037488 ,0.011999 ,0.043154 ,0.027275 ,0.030247 ,0.002235 ,0.004276 
0.038323 ,0.014132 ,0.032823 ,0.019769 ,0.013690 ,0.023566 ,0.016988 ,0.031575 ,0.004056 ,0.001843 
0.023215 ,0.018666 ,0.030416 ,0.042613 ,0.012024 ,0.033642 ,0.033900 ,0.035660 ,0.002211 ,0.003943 
0.051456 ,0.011425 ,0.031512 ,0.037357 ,0.010036 ,0.038685 ,0.025420 ,0.032256 ,0.003880 ,0.002751 
0.035328 ,0.016133 ,0.029839 ,0.025847 ,0.007706 ,0.023447 ,0.026578 ,0.023357 ,0.003543 ,0.001766 
0.067151 ,0.015320 ,0.012135 ,0.026928 ,0.014786 ,0.030036 ,0.030868 ,0.039949 ,0.002340 ,0.003483 
0.064212 ,0.019524 ,0.037844 ,0.040088 ,0.013477 ,0.036087 ,0.031199 ,0.035158 ,0.002865 ,0.003214 
0.053723 ,0.018431 ,0.027721 ,0.050355 ,0.010134 ,0.027124 ,0.033466 ,0.029417 ,0.003616 ,0.001123 
0.044447 ,0.015899 ,0.040542 ,0.038378 ,0.009433 ,0.031579 ,0.030325 ,0.028054 ,0.003447 ,0.002616 
0.052785 ,0.024604 ,0.048413 ,0.047202 ,0.010354 ,0.022408 ,0.037652 ,0.042533 ,0.002269 ,0.002865 
0.060054 ,0.013715 ,0.039813 ,0.039403 ,0.011553 ,0.024744 ,0.024276 ,0.029534 ,0.003213 ,0.002992 
0.051321 ,0.016694 ,0.035513 ,0.029726 ,0.011887 ,0.024898 ,0.029968 ,0.028434 ,0.004761 ,0.002255 
0.059217 ,0.019256 ,0.041358 ,0.049132 ,0.011711 ,0.038213 ,0.030107 ,0.031531 ,0.002650 ,0.001746 
0.045004 ,0.020503 ,0.047514 ,0.035915 ,0.015133 ,0.021678 ,0.025789 ,0.034308 ,0.004312 ,0.001087 
0.048498 ,0.015537 ,0.043874 ,0.034390 ,0.010860 ,0.023622 ,0.028829 ,0.033698 ,0.002845 ,0.002987 
0.041354 ,0.021173 ,0.040351 ,0.037552 ,0.010408 ,0.040898 ,0.030573 ,0.035522 ,0.002439 ,0.004027 
