Age,MeanDNE.Apex,Proportion.DNEunder0.0001,Proportion.DNEover0.6,IQRDNE.Whole
68,0.029491775,0.006500552,0.002142519,0.025254271
72,0.034461469,0.004757049,0.002663501,0.030691057
60,0.042266429,0.005526601,0.001310219,0.020916641
46,0.033649509,0.003010644,0.002547168,0.011496739
86,0.054074798,0.003915556,0.001261212,0.026806669
38,0.025476661,0.007323991,0.001402668,0.014259432
39,0.030747493,0.004871828,0.000448472,0.013089625
75,0.018082788,0.003702894,0.002305433,0.015839462
43,0.03420224,0.003546023,0.00139034,0.012411124
37,0.022481616,0.003787011,0.001013093,0.010974024
36,0.021921621,0.008892545,0.00047751,0.021164775
64,0.023237897,0.00473756,0.001551184,0.015468777
56,0.039394697,0.004831695,0.001602075,0.017704343
40,0.029172907,0.006397439,0.001596003,0.013028445
57,0.045486018,0.005368353,0.001481782,0.02460011
61,0.022439016,0.003029515,0.00182846,0.021409171
36,0.019868447,0.004906174,0.001129842,0.018198964
58,0.037397132,0.005210739,0.000532966,0.017540648
68,0.0387364,0.005913971,0.002132104,0.020161185
40,0.030954586,0.005145832,0.001443389,0.00824412
32,0.02518717,0.005846337,0.000837311,0.014006006
54,0.034878921,0.005609333,0.001449983,0.024536317
64,0.020146369,0.004348567,0.002150667,0.017527802
75,0.020838831,0.003520187,0.002086666,0.026742555
88,0.044911218,0.003192363,0.002574667,0.032395238
42,0.044884351,0.005060617,0.001830329,0.016173417
68,0.014797049,0.003941935,0.001490235,0.02068367
22,0.03165205,0.00507336,0.001852034,0.017669841
64,0.036949969,0.001490187,0.001770566,0.020558191
48,0.028331466,0.004861741,0.00230435,0.021181242
52,0.044382166,0.004391179,0.001557766,0.023440349
65,0.033896111,0.002331435,0.002074788,0.032492917
40,0.016596145,0.008945506,0.001699037,0.01438242
42,0.045780505,0.005062573,0.00143781,0.025984566
65,0.036889674,0.004511864,0.001986643,0.022001943
33,0.027248435,0.00700776,0.000450174,0.01315658
54,0.02366059,0.004157291,0.00242328,0.021092884
45,0.032036696,0.005122993,0.001384128,0.01368307
66,0.04007833,0.002188629,0.001955601,0.026930114
77,0.046022971,0.00414944,0.001664774,0.032520733
72,0.029768032,0.003432349,0.002262801,0.023695993
72,0.026810745,0.002880009,0.002326496,0.020713932
44,0.0308012,0.004560136,0.001360337,0.025696118
91,0.048889227,0.002949243,0.003163145,0.029180072
91,0.05228995,0.002104143,0.002191646,0.022187639
40,0.033995614,0.006759375,0.001559882,0.013444187
78,0.053001093,0.003148062,0.001602671,0.023285158
42,0.022461418,0.005063839,0.002308771,0.018641783
40,0.031140208,0.005395848,0.000703051,0.015856145
40,0.03165909,0.006355527,0.000891336,0.014884639
44,0.034402145,0.005504582,0.001990276,0.017915109
50,0.036112892,0.004894786,0.001341268,0.026916345
55,0.047908621,0.003164091,0.00239481,0.030189797
88,0.059583305,0.002865123,0.003088094,0.025874886
75,0.040782222,0.003354001,0.003063256,0.025407094
50,0.034428159,0.004867256,0.002662185,0.025530136
23,0.020554284,0.009950677,0.001167642,0.017823835
64,0.02836284,0.006786757,0.002495529,0.024407888
57,0.033857441,0.004540361,0.00144977,0.023908248
54,0.03025533,0.003168966,0.001528611,0.021610031
72,0.044880434,0.003119735,0.001482417,0.026413552
40,0.032689691,0.005748062,0.00170749,0.016988759
72,0.045101117,0.003135118,0.00082513,0.018152051
91,0.058888602,0.002487826,0.001801312,0.036971261
78,0.045301968,0.002523917,0.002140611,0.026281471
78,0.046597644,0.003891548,0.001091595,0.031468311
70,0.043104398,0.00479868,0.002923432,0.029251345
78,0.037509118,0.005108466,0.002374548,0.023186854
56,0.032405699,0.003143912,0.001656383,0.020345852
77,0.040365368,0.002983506,0.002080144,0.024166569
70,0.032250026,0.006252688,0.002511038,0.016378821
70,0.039272108,0.00301405,0.001961582,0.023687679
81,0.045572792,0.003432455,0.001651645,0.022341317
58,0.028489181,0.003054257,0.002006094,0.021869584
64,0.032141975,0.002528692,0.000743729,0.023044539
39,0.028026261,0.005037992,0.001338093,0.016488733
41,0.035082706,0.0051334,0.001500379,0.012546384
51,0.015272063,0.005918349,0.001086752,0.018364891
68,0.01942787,0.002582326,0.003264025,0.021630692
79,0.03167296,0.002699464,0.002346823,0.024435382
75,0.034224729,0.006052622,0.003171535,0.023134858
80,0.048956188,0.002331039,0.002332278,0.024529969
