Age,MeanDNE.Apex,MedianDNE.Apex,IQRDNE.Apex,TotalDNE.TotalPolygonFaces,MedianDNE.Whole,IQRDNE.Whole,MeanDNE.Convex,MeanDNE.Concave,Proportion.DNEunder0.0001,Proportion.DNEover0.6,Population
20,0.025030 ,0.009111 ,0.016183 ,0.020226 ,0.006716 ,0.013533 ,0.017201 ,0.015909 ,0.005709 ,0.000777 ,European
35,0.032765 ,0.010400 ,0.024343 ,0.015563 ,0.007012 ,0.013632 ,0.017601 ,0.017114 ,0.005151 ,0.000947 ,European
35,0.031610 ,0.012083 ,0.025121 ,0.015824 ,0.007009 ,0.013464 ,0.016341 ,0.014615 ,0.004811 ,0.000944 ,European
60,0.030580 ,0.016366 ,0.024575 ,0.027095 ,0.009649 ,0.023601 ,0.021815 ,0.024947 ,0.005084 ,0.001593 ,European
39,0.027261 ,0.010756 ,0.019947 ,0.014684 ,0.006547 ,0.016355 ,0.014708 ,0.013715 ,0.006128 ,0.001057 ,European
39,0.025692 ,0.009877 ,0.029267 ,0.015986 ,0.006779 ,0.016210 ,0.019595 ,0.020712 ,0.005838 ,0.001056 ,European
85,0.036169 ,0.014534 ,0.030338 ,0.025537 ,0.010628 ,0.022286 ,0.026373 ,0.031789 ,0.003573 ,0.002015 ,European
69,0.036367 ,0.013779 ,0.029641 ,0.027610 ,0.010133 ,0.022010 ,0.019871 ,0.021312 ,0.004001 ,0.001628 ,European
69,0.036813 ,0.013849 ,0.031601 ,0.028484 ,0.009700 ,0.022080 ,0.022682 ,0.026471 ,0.004696 ,0.001627 ,European
68,0.031711 ,0.013862 ,0.028601 ,0.021464 ,0.009601 ,0.022654 ,0.021623 ,0.024178 ,0.004632 ,0.001781 ,European
68,0.037042 ,0.014379 ,0.032622 ,0.024825 ,0.008667 ,0.021741 ,0.023345 ,0.027509 ,0.004330 ,0.001616 ,European
32,0.028965 ,0.007786 ,0.020257 ,0.014458 ,0.007423 ,0.015926 ,0.017320 ,0.016606 ,0.005910 ,0.001034 ,European
32,0.031010 ,0.008747 ,0.022405 ,0.017533 ,0.006062 ,0.015210 ,0.021774 ,0.024839 ,0.005720 ,0.000843 ,European
77,0.038272 ,0.011615 ,0.036735 ,0.025392 ,0.011415 ,0.024898 ,0.023961 ,0.028261 ,0.004061 ,0.002212 ,European
77,0.036163 ,0.015097 ,0.030927 ,0.032416 ,0.010194 ,0.023120 ,0.024250 ,0.028734 ,0.003725 ,0.001836 ,European
80,0.033328 ,0.020962 ,0.033296 ,0.031221 ,0.010737 ,0.026144 ,0.022685 ,0.026490 ,0.004897 ,0.002193 ,European
80,0.039968 ,0.014826 ,0.033004 ,0.030067 ,0.010763 ,0.025900 ,0.021363 ,0.023460 ,0.003989 ,0.001950 ,European
45,0.025552 ,0.010616 ,0.022284 ,0.021180 ,0.007102 ,0.023193 ,0.022550 ,0.026178 ,0.005200 ,0.001270 ,European
75,0.036443 ,0.014109 ,0.030662 ,0.023457 ,0.010431 ,0.020323 ,0.022656 ,0.026346 ,0.003816 ,0.001895 ,European
75,0.037867 ,0.014210 ,0.036189 ,0.022241 ,0.009760 ,0.020705 ,0.022651 ,0.026301 ,0.004195 ,0.001901 ,European
75,0.035316 ,0.014087 ,0.026365 ,0.027213 ,0.009207 ,0.024180 ,0.023511 ,0.027662 ,0.004455 ,0.001664 ,European
29,0.033962 ,0.009150 ,0.020255 ,0.019136 ,0.007174 ,0.016274 ,0.019909 ,0.021383 ,0.005638 ,0.000851 ,European
73,0.040341 ,0.012799 ,0.026591 ,0.025209 ,0.009747 ,0.025735 ,0.021383 ,0.023574 ,0.004378 ,0.001505 ,European
73,0.042902 ,0.014900 ,0.032936 ,0.030258 ,0.010353 ,0.020601 ,0.022733 ,0.026540 ,0.004119 ,0.001802 ,European
48,0.037145 ,0.008910 ,0.025476 ,0.018840 ,0.006780 ,0.018374 ,0.019620 ,0.020812 ,0.005175 ,0.001249 ,European
48,0.036839 ,0.012087 ,0.028523 ,0.015882 ,0.007609 ,0.018327 ,0.020662 ,0.022616 ,0.005035 ,0.001485 ,European
86,0.046001 ,0.015890 ,0.033015 ,0.033949 ,0.010858 ,0.028969 ,0.024218 ,0.028688 ,0.005168 ,0.002048 ,European
79,0.040684 ,0.015973 ,0.029347 ,0.023517 ,0.010644 ,0.023362 ,0.023184 ,0.027431 ,0.004606 ,0.001857 ,European
85,0.039771 ,0.015886 ,0.041202 ,0.026184 ,0.009733 ,0.027141 ,0.022755 ,0.026686 ,0.004442 ,0.002145 ,European
57,0.033859 ,0.012570 ,0.023222 ,0.023979 ,0.005606 ,0.022272 ,0.021608 ,0.024107 ,0.004915 ,0.001597 ,European
57,0.027534 ,0.012855 ,0.029562 ,0.024064 ,0.008164 ,0.024609 ,0.019998 ,0.021431 ,0.004252 ,0.001702 ,European
51,0.029470 ,0.010292 ,0.023494 ,0.022986 ,0.007118 ,0.020530 ,0.019051 ,0.019737 ,0.004806 ,0.001204 ,European
51,0.034135 ,0.014269 ,0.030524 ,0.020092 ,0.008168 ,0.025737 ,0.020412 ,0.022176 ,0.005329 ,0.001398 ,European
93,0.049248 ,0.016947 ,0.040456 ,0.035271 ,0.012494 ,0.026496 ,0.021813 ,0.024944 ,0.002444 ,0.002029 ,European
93,0.040434 ,0.016207 ,0.031356 ,0.032218 ,0.011785 ,0.027401 ,0.024074 ,0.028406 ,0.004060 ,0.002157 ,European
76,0.044713 ,0.014958 ,0.039536 ,0.022283 ,0.009210 ,0.027377 ,0.023563 ,0.027685 ,0.004472 ,0.001822 ,European
76,0.038338 ,0.011687 ,0.034144 ,0.022428 ,0.009762 ,0.021969 ,0.024077 ,0.028478 ,0.004003 ,0.001688 ,European
72,0.037826 ,0.016444 ,0.026939 ,0.028285 ,0.011956 ,0.023106 ,0.020976 ,0.023141 ,0.004789 ,0.001614 ,European
62,0.037217 ,0.011157 ,0.022410 ,0.019812 ,0.009006 ,0.021752 ,0.020698 ,0.022771 ,0.004311 ,0.001490 ,European
51,0.033341 ,0.012586 ,0.027224 ,0.019829 ,0.008724 ,0.017841 ,0.022765 ,0.026703 ,0.005011 ,0.001308 ,European
51,0.031366 ,0.011773 ,0.026593 ,0.019990 ,0.008782 ,0.016979 ,0.022228 ,0.025847 ,0.005327 ,0.001309 ,European
69,0.030387 ,0.013986 ,0.025320 ,0.025257 ,0.010748 ,0.024936 ,0.022945 ,0.027122 ,0.004412 ,0.001629 ,European
69,0.042356 ,0.013207 ,0.032240 ,0.021120 ,0.009131 ,0.022765 ,0.023623 ,0.027797 ,0.004488 ,0.001647 ,European
65,0.034901 ,0.013673 ,0.024868 ,0.028381 ,0.009680 ,0.024016 ,0.021611 ,0.024109 ,0.005403 ,0.001950 ,European
68,0.036251 ,0.013657 ,0.032920 ,0.020687 ,0.008547 ,0.025102 ,0.022737 ,0.026628 ,0.004504 ,0.001891 ,European
68,0.035835 ,0.013727 ,0.027327 ,0.026424 ,0.009166 ,0.020031 ,0.022542 ,0.026118 ,0.004612 ,0.001973 ,European
